databaseId,workflowName,event,headBranch,headSha,status,conclusion,createdAt,startedAt,updatedAt,duration_s
29253285112,documentation-foundation,push,main,98722ac32ea6,completed,success,2026-07-13T13:18:41Z,2026-07-13T13:18:41Z,2026-07-13T13:29:38Z,657
29252990577,documentation-foundation,pull_request,chore/step-4-post-tag-evidence,c04b7097bad5,completed,success,2026-07-13T13:14:19Z,2026-07-13T13:14:19Z,2026-07-13T13:14:49Z,30
29252705350,documentation-foundation,push,main,3db6ed89c7de,completed,success,2026-07-13T13:10:13Z,2026-07-13T13:10:13Z,2026-07-13T13:11:00Z,47
29252500375,documentation-foundation,pull_request,docs/step-4-domain-branding-environment-saas-foundation-planning,9d16b45c8a29,completed,success,2026-07-13T13:07:13Z,2026-07-13T13:07:13Z,2026-07-13T13:07:44Z,31
29250959432,documentation-foundation,pull_request,docs/step-4-domain-branding-environment-saas-foundation-planning,56d7ea099786,completed,failure,2026-07-13T12:43:52Z,2026-07-13T12:43:52Z,2026-07-13T12:52:20Z,508
29246640048,documentation-foundation,push,main,3dbdd52e6ce6,completed,success,2026-07-13T11:33:11Z,2026-07-13T11:33:11Z,2026-07-13T11:33:40Z,29
29244126745,documentation-foundation,pull_request,chore/step-3-post-tag-evidence,b21d4dcd57ae,completed,success,2026-07-13T10:50:11Z,2026-07-13T10:50:11Z,2026-07-13T10:50:35Z,24
29233147064,documentation-foundation,push,main,764a48492ab1,completed,success,2026-07-13T07:46:09Z,2026-07-13T07:46:09Z,2026-07-13T08:09:39Z,1410
29231902612,documentation-foundation,pull_request,docs/step-3-application-architecture-adr-foundation,7445057370b1,completed,success,2026-07-13T07:23:11Z,2026-07-13T07:23:11Z,2026-07-13T07:32:32Z,561
29222760962,documentation-foundation,push,main,74c70926236d,completed,success,2026-07-13T03:56:23Z,2026-07-13T03:56:23Z,2026-07-13T03:56:45Z,22
29222732519,documentation-foundation,pull_request,chore/step-2-post-tag-evidence,a6685a0b5bce,completed,success,2026-07-13T03:55:38Z,2026-07-13T03:55:38Z,2026-07-13T03:55:58Z,20
29220445372,documentation-foundation,push,main,abf1d00a15a5,completed,success,2026-07-13T02:53:26Z,2026-07-13T02:53:26Z,2026-07-13T02:53:59Z,33
29218803260,documentation-foundation,pull_request,docs/step-2-persona-pilot-use-cases,1d88d9a97737,completed,success,2026-07-13T02:06:26Z,2026-07-13T02:06:26Z,2026-07-13T02:06:47Z,21
29215715633,documentation-foundation,pull_request,chore/aish-agentic-ai-docs-foundation-tag-evidence,bed56379c5f5,completed,success,2026-07-13T00:37:19Z,2026-07-13T00:37:19Z,2026-07-13T00:43:21Z,362
29215583226,documentation-foundation,push,main,ba1c80facf2b,completed,success,2026-07-13T00:33:38Z,2026-07-13T00:33:38Z,2026-07-13T00:33:55Z,17
29214927784,documentation-foundation,pull_request,chore/aish-agentic-ai-documentation-foundation,8d8808c3c954,completed,success,2026-07-13T00:14:18Z,2026-07-13T00:14:18Z,2026-07-13T00:16:07Z,109
29214613996,documentation-foundation,pull_request,chore/aish-agentic-ai-documentation-foundation,11b11611ff11,completed,cancelled,2026-07-13T00:05:54Z,2026-07-13T00:05:54Z,2026-07-13T00:14:19Z,505
